NÃšMERO LLIBRES,STATES,MAXDEPTH,EASY,HARD ACTION,TEMPS,TIPUS
10,20,2,143,1690,0.01,PREDECESSOR
20,40,2,399,8820,0.05,PREDECESSOR
30,60,2,899,28830,0.18,PREDECESSOR
40,80,2,1680,70560,0.54,PREDECESSOR
50,100,2,2499,130050,1.49,PREDECESSOR
60,120,2,3599,223260,3.44,PREDECESSOR
70,140,2,4899,352870,6.98,PREDECESSOR
80,160,2,6399,524880,12.56,PREDECESSOR
90,180,2,8099,745290,20.93,PREDECESSOR
100,200,2,9999,1020100,33.73,PREDECESSOR
2,3,1,143,676,0,PARALLEL
3,4,1,143,1859,0,PARALLEL
4,5,1,143,5070,0.01,PARALLEL
5,6,1,143,14365,0.03,PARALLEL
6,7,1,143,41912,0.09,PARALLEL
7,8,1,143,124215,0.34,PARALLEL
8,9,1,143,370786,3.97,PARALLEL
9,10,1,143,1110161,45.08,PARALLEL
10,11,1,143,3327948,407.55,PARALLEL